0.00,0.49,1976.00,102.00,135.00,231.00,280.00,163.00,67.00,59.00,47.00,60.00,73.00,103.00,105.00,169.00,123.00,132.00,127.00
0.50,1.49,10621.00,501.00,584.00,1208.00,1841.00,910.00,422.00,297.00,224.00,238.00,321.00,457.00,868.00,1218.00,711.00,444.00,377.00
1.50,2.49,9082.00,174.00,389.00,1043.00,1788.00,691.00,315.00,225.00,152.00,248.00,404.00,567.00,1223.00,1074.00,525.00,169.00,95.00
2.50,3.49,7762.00,91.00,208.00,802.00,1402.00,756.00,286.00,266.00,194.00,349.00,521.00,623.00,1204.00,759.00,197.00,65.00,39.00
3.50,4.49,5313.00,27.00,66.00,413.00,1218.00,794.00,313.00,278.00,263.00,407.00,335.00,318.00,460.00,316.00,81.00,11.00,13.00
4.50,5.49,3620.00,1.00,31.00,206.00,1058.00,665.00,284.00,369.00,303.00,328.00,66.00,89.00,41.00,132.00,42.00,3.00,2.00
5.50,6.49,3009.00,0.00,20.00,104.00,862.00,743.00,311.00,372.00,252.00,164.00,9.00,31.00,30.00,87.00,24.00,0.00,0.00
6.50,7.49,2234.00,0.00,2.00,34.00,564.00,620.00,280.00,346.00,208.00,119.00,3.00,2.00,7.00,43.00,6.00,0.00,0.00
7.50,8.49,1636.00,0.00,1.00,12.00,296.00,463.00,239.00,386.00,160.00,70.00,1.00,0.00,0.00,7.00,1.00,0.00,0.00
8.50,9.49,1274.00,0.00,0.00,0.00,187.00,374.00,267.00,302.00,127.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.50,10.49,972.00,0.00,0.00,0.00,79.00,382.00,240.00,219.00,42.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.50,11.49,724.00,0.00,0.00,0.00,52.00,287.00,213.00,134.00,34.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.50,12.49,358.00,0.00,0.00,0.00,24.00,158.00,104.00,56.00,14.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.50,13.49,204.00,0.00,0.00,0.00,6.00,72.00,56.00,49.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.50,14.49,212.00,0.00,0.00,0.00,0.00,68.00,46.00,81.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.50,15.49,118.00,0.00,0.00,0.00,0.00,18.00,31.00,58.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.50,16.49,43.00,0.00,0.00,0.00,1.00,2.00,15.00,22.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.50,17.49,9.00,0.00,0.00,0.00,0.00,2.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.50,18.49,7.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.50,19.49,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.50,20.49,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.50,21.49,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.50,22.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.50,23.49,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
